Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD14_L0001,I recall the countless colors of humans in my brief time on Earth.,지구의 짧은 생 속에서 마주친 수많은 인간들의 색을 떠올려.
SD14_L0002,"Some hearts are blue, like a bruised galaxy.","어떤 마음의 색은 멍든 은하처럼 푸르르기도 하고, (3일차, 8일차)"
SD14_L0003,Some hearts burn red as a blazing supernova.,"어떤 마음의 색은 타오르는 초신성처럼 뜨거운 빨강이고, (1일차, 10일차)"
SD14_L0004,"Some hearts glow yellow, itchy and restless, just like a giant sun.","어떤 마음의 색은 거대한 태양을 닮아 가렵도록 샛노랗기도 해. (2일차, 7일차)"
SD14_L0005,"Their vibrance, bound by the gravity of life, never fails to fill me with awe.",중력 같은 생명에 묶인 인간 종족의 다채로움. 그게 나를 얼마나 감탄하게 하는지.
SD14_L0006,"And however ugly they think they are, I, not human, behold their beauty with love.","그들 자신이 그것을 얼마나 추하다고 여기는지와는 무관하게, 인간이 아닌 나는 그들의 아름다움을 귀하게 관찰해."
SD14_L0007,But beyond them lies a black hole.,하지만 그 색들 너머에서… 동그랗고 작고 ‘확고한’ 블랙홀 하나가 보여.
SD14_L0008,"It was never born, but has always been there.",그것은 자라난 것이 아니지. 언제나 그곳에 있었고.
SD14_L0009,"Neither good nor evil, but carrying the laws of the universe in its core,","선도, 악도 아닌 채 우주의 법칙을 온몸에 머금고 모두에게 공평하게 다가가."
SD14_L0010,"approaching all with fairness, yet in such an unfair manner.",모두에게 불공평한 속도와 방식으로.
SD14_L0011,No one knows what lies at the end of its horizon.,아무도 그 지평선의 끝을 알지 못해.
SD14_L0012,Will it be hollow? Whole? Infinite? Beautiful?,공허할까? 꽉 차 있을까? 무한할까? 아름다울까?
SD14_L0013,Or perhaps… the end is nothing more than an end.,아니라면… 끝은 그저 끝일 뿐일까.
SD14_L0014,"Always closer than it appears, it waits.",언제나 보이는 것보다 가까이 있는 그것에게.
SD14_L0015,"Be it galaxies, supernovas, or suns, none will be exempt from its pull.","멍든 은하도, 초신성도, 거대한 태양도, 예외 없이 흡수될 거야."
